Save Custom Redirect,Opslaan Aangepaste Doorverwijzing
Edit Custom Redirect '%1',Bewerk Aangepaste Doorverwijzing '%1'
New Redirect,Nieuwe Doorverwijzing
Custom Redirect Properties,Eigenschappen Aangepaste Doorverwijzing
SEO Redirect Settings,SEO Doorverwijsinstellingen
for %1,voor %1
Status,Status
Redirect Code,Doorverwijzingscode
Redirect From:,Doorverwijzen Van:
Type,Type
"Store URL part will be added automatically:<br>
                            'my/custom/url' will be converted to 'http[s]://(store_URL_here)/my/custom/url'","Het winkel-URL-deel wordt automatisch toegevoegd:<br>
                            'mijn/aangepaste/url' wordt omgezet naar 'http[s]://(winkel_URL_hier)/mijn/aangepaste/url'"
URL,URL
Redirect To:,Doorverwijzen Naar:
"Link without 'http[s]://' as 'my/custom/url'
                            will be converted to 'http[s]://(store_URL_here)/my/custom/url'<br>
                            Link with 'http[s]://' will be added as it is.","Link zonder 'http[s]://' zoals 'mijn/aangepaste/url'
                            wordt omgezet naar 'http[s]://(winkel_URL_hier)/mijn/aangepaste/url'<br>
                            Link met 'http[s]://' wordt toegevoegd zoals het is."
Active From,Actief Van
Active To,Actief Tot
Select Category...,Categorie Selecteren...
Select Product...,Product Selecteren...
Select Page...,Pagina Selecteren...
Select Landing Page...,Landingpagina Selecteren...
Store View,Winkelweergave
Custom Redirect,Aangepaste Doorverwijzing
ID,ID
Product,Product
SKU,SKU
Visibility,Zichtbaarheid
"The selected category (ID#%1) does not belong to the store view (ID#%2) of the current redirect. Please, set another category.",De geselecteerde categorie (ID#%1) behoort niet tot de winkelweergave (ID#%2) van de huidige doorverwijzing. Stel alsjeblieft een andere categorie in.
"The selected priority category (ID#%1) does not belong to the store view (ID#%2) of the current redirect. Please, set another category.",De geselecteerde prioriteitscategorie (ID#%1) behoort niet tot de winkelweergave (ID#%2) van de huidige doorverwijzing. Stel alsjeblieft een andere categorie in.
Redirect,Doorverwijzen
New Custom Redirect,Nieuwe Aangepaste Doorverwijzing
The Custom Redirect has been deleted.,De Aangepaste Doorverwijzing is verwijderd.
Custom Redirect is not found.,Aangepaste Doorverwijzing niet gevonden.
Edit Custom Redirect,Bewerk Aangepaste Doorverwijzing
Custom SEO Redirects,Aangepaste SEO Doorverwijzingen
Import and Export Custom SEO Redirects,Aangepaste SEO Doorverwijzingen Importeren en Exporteren
The custom redirects has been imported.,De aangepaste doorverwijzingen zijn geïmporteerd.
Invalid file upload attempt,Ongeldige poging tot bestand uploaden
Custom Redirects,Aangepaste Doorverwijzingen
Please correct the sent data.,Corrigeer de verzonden gegevens.
Something went wrong while saving the redirect.,Er is iets misgegaan bij het opslaan van de doorverwijzing.
Request and target entities(URLs) can't be identical!,Aanvraag- en doelentiteiten (URL's) kunnen niet identiek zijn!
It is impossible to save redirect for %storeName Store,Het is onmogelijk om een doorverwijzing op te slaan voor de winkel %storeName
The redirect for %storeName Store has been saved.,De doorverwijzing voor winkel %storeName is opgeslagen.
category,categorie
product,product
CMS page,CMS-pagina
Landing page,Landingpagina
"Note. For ""%storeName"" Store the input Request Path (%requestPath) is identical to url key of product (ID#%productId) and more priority than it","Opmerking. Voor winkel ""%storeName"" is het ingevoerde Aanvraagpad (%requestPath) identiek aan de URL-sleutel van het product (ID#%productId) en heeft een hogere prioriteit dan deze"
Redirects for Deleted Products,Doorverwijzingen voor Verwijderde Producten
Request Entity Type,Type Aanvraagentiteit
Request Entity Identifier,Identificator Aanvraagentiteit
Target Entity Type,Type Doelentiteit
Target Entity Identifier,Identificator Doelentiteit
Redirect Type,Type Doorverwijzing
Store ID,Winkel ID
Created,Aangemaakt
Updated,Bijgewerkt
Is Autogenerated,Is Autogegenereerd
Is Imported,Is Geïmporteerd
Enable,Inschakelen
Missed Request Entity Type in line %1,Ontbrekende Type Aanvraagentiteit in regel %1
Invalid Request Entity Type code in line %1,Ongeldige Code Type Aanvraagentiteit in regel %1
Missed Request URL in line %1,Ontbrekende Aanvraag-URL in regel %1
"The requested identifier can't start from ""http"".","Het aangevraagde identificatienummer mag niet beginnen met ""http""."
Missed Target Entity Type in line %1,Ontbrekende Type Doelentiteit in regel %1
Invalid Target Entity Type code in line %1,Ongeldige Code Type Doelentiteit in regel %1
Missed Target Entity Identifier in line %1,Ontbrekende Identificator Doelentiteit in regel %1
Request and target entities(URLs) can't be identical in line %1,Aanvraag- en doelentiteiten(URL's) kunnen niet identiek zijn in regel %1
Invalid Redirect Code in line %1,Ongeldige Doorverwijzingscode in regel %1
Missed Store ID in line %1,Ontbrekende Winkel-ID in regel %1
"Duplicate row (Request Entity Type, Request Entity Identifier and Store ID combination) was found in line %1","Er is een duplicaatrij gevonden (Combinatie van Type Aanvraagentiteit, Identificator Aanvraagentiteit en Winkel-ID) in regel %1"
The requested store IDs are not found: %1.,De opgevraagde winkel-ID's zijn niet gevonden: %1.
"%1) [Store: %2, Request Identifier: %3]","%1) [Winkel: %2, Aanvraag Identificator: %3]"
"Duplicated redirects were detected (Request Entity Type together with Request Identifier must be unique both for the redirects with specific Store ID values and Store ID = ""0"" redirects): %1","Dubbele doorverwijzingen zijn gedetecteerd (Type Aanvraagentiteit samen met Aanvraag Identificator moet zowel uniek zijn voor de doorverwijzingen met specifieke Winkel-ID-waarden als voor doorverwijzingen met Winkel-ID = ""0""): %1"
  %1) [Redirect from %2 (%3) on store (ID:%4) is identical with existent redirect (ID:%5)] ,  %1) [Doorverwijzen van %2 (%3) in winkel (ID:%4) is identiek aan bestaande doorverwijzing (ID:%5)]
"Some imported redirects are identical to the existent redirects:%1. Please, remove them from the import file.",Sommige geïmporteerde doorverwijzingen zijn identiek aan de bestaande doorverwijzingen:%1. Verwijder ze alsjeblieft uit het importbestand.
Invalid file upload attempt.,Ongeldige poging tot bestand uploaden.
Data for import not found,Gegevens voor import niet gevonden
"Invalid date format in line %1. There are valid date examples: ""2021-01-02"" or ""2020-04-02 20:38:59""","Ongeldige datumnotatie in regel %1. Geldige datumvoorbeelden: ""2021-01-02"" of ""2020-04-02 20:38:59"""
Missed Target URL in line %1,Ontbrekende Doel URL in regel %1
Request and target URLs can't be identical - line %1,Aanvraag- en doel-URL's kunnen niet identiek zijn - regel %1
Invalid redirect code in line %1,Ongeldige doorverwijzingscode in regel %1
Missed store code in line %1,Ontbrekende winkelcode in regel %1
Duplicate row (Request URL and Store Code combination) was found in line %1,Er is een duplicaatrij gevonden (Aanvraag URL en Winkelcode-combinatie) in regel %1
The requested store code(s) is not found: %1.,De opgevraagde winkelcode(s) zijn niet gevonden: %1.
"Duplicated redirects were detected (Request Identifier must be unique both for the redirects with specific Store ID values and Store ID = ""all"" redirects): %1","Dubbele doorverwijzingen zijn gedetecteerd (Aanvraag Identificator moet zowel uniek zijn voor de doorverwijzingen met specifieke Winkel-ID-waarden als voor doorverwijzingen met Winkel-ID = ""alles""): %1"
"  %1) [Store ID: %2, Request Identifier: %3, Redirect ID: %4]","  %1) [Winkel ID: %2, Aanvraag Identificator: %3, Doorverwijzing ID: %4]"
Could not save the redirect: %1,Kon de doorverwijzing niet opslaan: %1
"Custom Redirect with id ""%1"" does not exist.","Aangepaste Doorverwijzing met id ""%1"" bestaat niet."
Could not delete the redirect: %1,Kon de doorverwijzing niet verwijderen: %1
Root,Root
Disable,Uitschakelen
Product Category,Productcategorie
Priority Category,Prioriteitscategorie
Moved Permanently,Permanent Verplaatst
Found,Gevonden
Custom URL,Aangepaste URL
Category,Categorie
Page,Pagina
Landing Page,Landingpagina
Disabled,Uitgeschakeld
Enabled,Ingeschakeld
"Request Entity Type - %entityType (%identifier) for store ""%storeName"" already exists. Redirect wasn't saved","Type Aanvraagentiteit - %entityType (%identifier) voor winkel ""%storeName"" bestaat al. Doorverwijzing is niet opgeslagen"
UNKNOWN CATEGORY,ONBEKENDE CATEGORIE
All Store Views,Alle Winkelweergaven
Edit,Bewerken
Delete,Verwijderen
Delete Redirect,Doorverwijzing Verwijderen
Are you sure you want to delete the selected redirect?,Weet je zeker dat je de geselecteerde doorverwijzing wilt verwijderen?
UNKNOWN PRODUCT,ONBEKEND PRODUCT
UNKNOWN PAGE,ONBEKENDE PAGINA
UNKNOWN LANDING PAGE,ONBEKENDE LANDINGSPAGINA
Import SEO Redirects,SEO Doorverwijzingen Importeren
Import SEO Redirects (Simple Format),SEO Doorverwijzingen Importeren (Eenvoudig Formaat)
Download example CSV file,Voorbeeld CSV-bestand downloaden
Download,Downloaden
Import SEO Redirects (Full Format),SEO Doorverwijzingen Importeren (Volledig Formaat)
Export SEO Redirects,SEO Doorverwijzingen Exporteren
Export SEO Redirects (Full Format),SEO Doorverwijzingen Exporteren (Volledig Formaat)
Please select a file to import!,Selecteer alsjeblieft een bestand om te importeren!
SEO,SEO
SEO Redirects,SEO Doorverwijzingen
Enable ▾,Inschakelen ▾
Keep URLs For Removed Entities,URL's Behouden Voor Verwijderde Entiteiten
For Deleted Products,Voor Verwijderde Producten
Default Redirect To,Standaard Doorverwijzen Naar
Days to Keep Redirects on the Website,Dagen om Doorverwijzingen op de Website Te Behouden
A number of days to keep the redirects active. Can be set between 30 and 365 days.,Een aantal dagen om de doorverwijzingen actief te houden. Kan worden ingesteld tussen 30 en 365 dagen.
Product Redirect Priority,Prioriteit Doorverwijzing Product
Add New Redirect,Nieuwe Doorverwijzing Toevoegen
Delete items,Items Verwijderen
Are you sure you want to delete selected redirects?,Weet je zeker dat je geselecteerde doorverwijzingen wilt verwijderen?
Product ID,Product ID
Product Name,Productnaam
Request Path,Aanvraagpad
Product Category ID (Name),Productcategorie ID (Naam)
Priority Category ID (Name),Prioriteitscategorie ID (Naam)
Hits,Hits